en;ru
marine/ambre;синий
marine/anthrazit rau;синий
marine/rot;синий/красный
marine/rot/beige;синий/красный/бежевый
marine/rot/creme;синий/красный/бежевый
marine/royalblau/ rau;синий/красный
marine/silber;синий/серебро
marine/weiss;синий/белый
marineblau;синий
marineblue;синий
maritim;голубой
maroon;бордовый
marron;коричневый
marshmellow;маршмеллоу
mauve;синий
mayan brown;коричневый
med bleach;серый
medium light;серый
medium middle;серый
merlot;бордовый
merlot/rose rau;бордовый
messing;бежевый
messing/marine;бежевый/синий
metallic/noir;металлик
micro chip;голубой
micro chip/petit four;голубой
mid night;синий
mid rey melange;серый
midnightblue;синий
midnightsky;голубой
mint melange;мятный
mint;мятный
mint/cream/navy;мятный/кремовый
mint/silber;мятный/серый
mint/silver;мятный/серый
mintgruen;мятный
mocca;мокка
mokka old;мокка
mokka;мокка
mokka/antik;мокка
mokka/cappuccino;мокка
mokka/caramel;мокка
mokka/stoneage;мокка
monaco blue;синий
montana blue;синий
moonlight;синий
moonlightblue;синий
moro;моро
multicolor;разноцветный
muscat;мускат
nach verfuegbarkeit;голубой
nachtblau;синий
nachtblau/bronze/walnuss;синий/бронзовый
nachtblau/dark shadow;синий
nachtblau/darkstone;синий
natur;бежевый
natur/schwarz/natur;бежевый/черный
natur-weiss;белый/серый
navy - kette;синий
navy - ornament;синий
navy check;синий
navy denim;синий
navy dot;синий
navy melange;синий
navy old;синий
navy papaya;синий
navy print;синий
navy rape;синий
navy reen;синий
navy rey;синий
navy;синий
navy/ baby blue;синий
navy/anthracite;синий
navy/apple/navy;
navy/beige;синий
navy/berry;синий
navy/black;синий
navy/candy;синий
navy/chocolate;синий
navy/coolgrey/skyblue;синий
navy/dark olive;синий
navy/hellgrau/hellblau;синий
navy/hot cherry/steel;синий
navy/leaf reen;синий
navy/navy & electic blue;синий
navy/navy & old;синий
navy/navy & red;синий
navy/navy & white;синий
navy/navy;синий
navy/orange;синий
navy/orion blue/middle rey;синий
navy/petrol;синий
navy/purple;синий
navy/rape/yellow;синий
navy/rosa;синий
navy/rouge;синий
navy/royalblau rau;синий
navy/rust check;синий
navy/silver;синий
navy/smaragd;синий
navy/smoked blue;синий
navy/stars;синий
navy/strong blue & silver;синий
navy/taupe;синий
navy/taupe/navy;синий
navy/white rey;синий
navy/white;синий
navy/white/brown;синий
navy/white/orange;синий
navy/white/papaya;синий
navyblau;синий
navy-neon rau;синий
neon blau;неоновый голубой
neon orange;неоновый оранжевый
neon pink;неоновый розовый
neon rey;неоновый
neon ruen;неоновый
neongelb;неоновый желтый
neongruen;неоновый зеленый
neonpink;неоновый розовый
neutral rey;бежевый
nickel/anthrazit;никель
nickel/schwarz;никель
night sky;синий
nightblue;синий
nightblue/silver;синий
nightblue/white/blackberry;синий
nightshadowblue/nightblue;синий
noir;синий
nougat;орех
nubuk-schwarz;черный
oatmeal/navy;синий
oatmeal/navy/white & beige;синий
ocean blue;синий
ocean;океан
off white;белый
offwhite raphite;белый
offwhite;белый
old/champagner;бежевый
oldbronze;бронзовый
oliv melange;оливковый
oliv;оливковый
oliv/denim;оливковый
olive reen;оливковый
olive tree;оливковый
olive tree/night sky;оливковый
olive;оливковый
olive/navy;оливковый
olivegreen;оливковый
orange;оранжевый
orchid;орхидея
orchid/rosepink;орхидея
oxfordnavy;синий
pagoda blue/koralle/beige;синий/коралловый/бежевый
pagoda blue/pink/lightgrey;синий/розовый/серый
pale dogwood;коричневый
palegreen;зеленый
papaya;папайа
paradise pink;розовый
paris check;бежевый
passier blau;голубой
pastell;пастельный
patriot blue;голубой
peach amber;персиковый
peach;персиковый
peacoat;синий
peacok blue;синий
pearlbeige;бежевый
persianred;бордовый
persimmon;оранжевый
petit four;голубой
petrol rey;голубой
petrol;голубой
petrol/braun;голубой/коричневый
petrol/navy;голубой/синий
pflaume;бордовый
pine;зеленый
pink - pferd;розовый
pink lemon;розовый
pink lemonade;розовый
pink ruen/grau;розовый
pink;розовый
pink/black;розовый/черный
pink/blau rau;розовый/синий
pink/navy/pink;розовый/синий
pink/orange;розовый/оранжевый
pink/rot;розовый/красный
pink/schwarz;розовый/черный
pink/silber;розовый/серебро
pink/tuerkis;розовый/голубой
pink/white;розовый/белый
pinky pink;розовый
plasma;желтый
poinsettia;красный
pomegranat;бордовый
popcorn;попкорн
porcini/iceblue;голубой
potent purple;фиолетовый
powder blue;синий
princess/violett matt;принцесса
puenktchen/bordeaux;бордовый
purple rape;фиолетовый
